CompletionFlag	SOPInstanceUID	TemplateIdentifier	VerificationFlag
COMPLETE	1.2.276.0.7230010.3.1.4.0.1470.1535579220.822779		VERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15261.1536619872.951980		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15285.1536619880.785104		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15308.1536619888.549643		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15332.1536619895.940089		UNVERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.0.1564.1535579225.540086		VERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.0.1653.1535579230.166854		VERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.0.1683.1535579234.541193		VERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15356.1536619910.36822		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15379.1536619923.618545		UNVERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.0.1695.1535579245.348057		VERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.0.1716.1535579253.922954		VERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15401.1536619932.378672		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15424.1536619940.94451		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15446.1536619947.732195		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15469.1536619955.515421		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15492.1536619963.169047		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15514.1536619970.853123		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15537.1536619978.548415		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15560.1536619986.177950		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15583.1536619994.996425		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15605.1536620001.635499		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15628.1536620009.277602		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15650.1536620016.930857		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15674.1536620024.623132		UNVERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.0.1739.1535579276.249754		VERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.0.1746.1535579280.361752		VERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.0.1753.1535579284.536004		VERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.0.1760.1535579288.762379		VERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.0.1767.1535579293.156294		VERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.0.1769.1535579296.922284		VERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.0.1776.1535579300.792076		VERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.0.1783.1535579304.633593		VERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.0.1792.1535579308.505736		VERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.0.1794.1535579312.406646		VERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.0.1801.1535579316.369565		VERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.0.1808.1535579320.215583		VERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.0.1816.1535579324.427715		VERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15697.1536620037.143305		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15719.1536620049.399829		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15742.1536620061.348606		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15765.1536620073.351555		UNVERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.0.1854.1535579360.93488		VERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.0.1861.1535579366.544973		VERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.0.1868.1535579373.188857		VERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.0.1880.1535579379.704140		VERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15789.1536620081.609008		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15811.1536620088.898661		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15834.1536620096.179316		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15857.1536620103.575008		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15880.1536620110.894688		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15902.1536620118.147602		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15925.1536620125.474862		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15947.1536620132.790053		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15969.1536620140.118400		UNVERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.0.1904.1535579399.888262		VERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.0.1908.1535579403.868517		VERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.0.1915.1535579407.719747		VERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.0.1922.1535579411.752834		VERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.0.1929.1535579415.737688		VERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.0.1931.1535579419.570417		VERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.0.1938.1535579423.612130		VERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.0.1945.1535579427.926531		VERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.0.1952.1535579432.187201		VERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.15996.1536620143.825075		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.16024.1536620155.731047		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.16051.1536620158.751348		UNVERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.3166326398.14852.1513205118.22		VERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.3166326398.19544.1513205118.728		VERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.3166326398.2916.1513205116.731		VERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.16078.1536620162.941655		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.16108.1536620177.60002		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.16134.1536620180.547051		UNVERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.3166326398.17020.1513205119.295		VERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.3166326398.19472.1513205121.302		VERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.3166326398.4464.1513205120.563		VERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.16164.1536620195.694917		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.16191.1536620199.479339		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.16217.1536620202.683368		UNVERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.3166326398.3124.1513205121.953		VERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.3166326398.8232.1513205122.592		VERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.3166326398.972.1513205123.897		VERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.16244.1536620206.572701		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.16270.1536620209.898125		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.16300.1536620223.951708		UNVERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.3166326398.1332.1513205125.175		VERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.3166326398.16208.1513205126.413		VERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.3166326398.9388.1513205124.538		VERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.16351.1536620235.893970		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.16378.1536620239.728963		UNVERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.3166326398.17608.1513205129.29		VERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.3166326398.19424.1513205128.229		VERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.3166326398.9660.1513205127.84		VERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.16404.1536620243.334729		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.16430.1536620252.861227		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.16456.1536620256.312759		UNVERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.3166326398.2288.1513205129.633		VERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.3166326398.376.1513205131.381		VERIFIED
COMPLETE	1.2.276.0.7230010.3.1.4.3166326398.4960.1513205130.759		VERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.16480.1536620262.318820		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.16502.1536620268.929287		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.16525.1536620271.425659		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.16546.1536620277.55824		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.16568.1536620283.254864		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.16590.1536620287.112471		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.16612.1536620291.281994		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.16634.1536620296.357178		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.16656.1536620300.784162		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.16678.1536620304.836030		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.16699.1536620309.20706		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.16721.1536620313.755993		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.16742.1536620319.742		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.16765.1536620322.965058		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.16786.1536620326.906551		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.18258.1440001306.617244		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.18288.1440001307.225490		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.18320.1440001307.862476		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.18379.1440001308.875197		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.18438.1440001309.981880		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.18497.1440001310.976153		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.18556.1440001311.2582		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.18615.1440001313.22159		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.18672.1440001314.41338		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.18731.1440001315.106200		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.18790.1440001316.132533		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.18850.1440001317.93172		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.18909.1440001318.104309		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.18969.1440001319.136278		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.19028.1440001320.109022		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.16808.1536620333.444928		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.16829.1536620338.802245		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.16851.1536620341.642656		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.16872.1536620344.621666		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.16893.1536620347.456118		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.16915.1536620350.3374		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.16936.1536620352.578355		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.16958.1536620355.270403		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.16978.1536620357.790884		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.17000.1536620365.827541		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.17093.1536620369.530642		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.17125.1536620372.426354		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.17178.1536620375.978218		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.17204.1536620378.963627		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.17228.1536620382.40573		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.19087.1440001329.115085		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.19117.1440001329.647663		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.19147.1440001330.188331		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.19205.1440001331.146121		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.19260.1440001332.213625		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.19315.1440001333.251392		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.19370.1440001334.243263		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.19425.1440001335.356897		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.19480.1440001336.456607		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.19539.1440001337.404417		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.19599.1440001338.354784		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.19656.1440001339.340231		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.19713.1440001340.361969		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.19770.1440001341.399410		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.19829.1440001342.388149		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.17254.1536620391.535908		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.17281.1536620408.329145		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.17393.1536620426.472665		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.17417.1536620431.339103		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.17441.1536620436.910634		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.17465.1536620441.254812		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.17488.1536620445.418617		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.17517.1536626218.12879		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.17634.1536626226.223504		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.17667.1536626230.263143		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.17706.1536626234.443296		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.17804.1536626246.601385		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.17849.1536626252.463455		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.17888.1536626258.964230		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.17912.1536626263.110469		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.19893.1440001356.676359		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.19923.1440001357.582651		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.19953.1440001358.467362		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.20037.1440001360.886103		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.20117.1440001363.151784		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.20204.1440001365.462666		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.20280.1440001367.878841		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.20362.1440001370.257929		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.20449.1440001372.675553		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.20533.1440001375.139751		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.20616.1440001377.416976		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.20698.1440001379.856802		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.20786.1440001382.127842		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.20862.1440001384.416627		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.20938.1440001386.735916		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.17939.1536626271.824389		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.17964.1536626279.729626		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.18008.1536626285.869913		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.18033.1536626290.378944		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.18058.1536626294.696205		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.18082.1536626298.757496		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.18108.1536626303.971762		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.18134.1536626307.147293		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.18161.1536626311.738571		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.18188.1536626316.323309		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.18213.1536626321.445055		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.18239.1536626326.472285		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.18264.1536626331.991709		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.18289.1536626335.321440		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.20997.1440001395.4210		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.21027.1440001396.555144		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.21057.1440001397.90384		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.21197.1440001399.904557		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.21347.1440001402.618579		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.21485.1440001405.300070		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.21622.1440001408.112200		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.21761.1440001410.938265		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.21903.1440001413.631107		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.22075.1440001416.436875		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.22230.1440001419.275533		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.22372.1440001422.154738		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.22525.1440001425.66947		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.22675.1440001427.712899		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.8323329.22822.1440001430.382393		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.18317.1536626341.361150		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.18343.1536626350.594837		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.18370.1536626355.714066		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.18397.1536626366.860338		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.18426.1536626387.769095		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.18454.1536626410.939302		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.18481.1536626417.365416		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.18508.1536626426.241050		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.18535.1536626441.539726		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.18562.1536626449.115396		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.18588.1536626456.240960		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.18614.1536626463.446892		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.18641.1536626508.394967		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.18669.1536626533.456246		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.18697.1536626591.937157		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.18724.1536626637.72239		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.18751.1536626648.113481		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.18777.1536626655.360496		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.18805.1536626664.66270		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.18830.1536626672.564862		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.18855.1536626675.913704		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.18879.1536626678.714593		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.18903.1536626685.916927		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.18928.1536626690.572251		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.18955.1536626693.789433		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.18982.1536626701.639476		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.19010.1536626710.885364		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.19037.1536626727.991728		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.19063.1536626731.731144		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.19088.1536626734.297298		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.19184.1536626740.865520		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.19239.1536626754.121478		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.19263.1536626758.863875		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.19287.1536626762.416863		UNVERIFIED
PARTIAL	1.2.276.0.7230010.3.1.4.0.19311.1536626766.479834		UNVERIFIED
